Date,Time,Age,Gender,NexusMember,NexusNumber,Outlet_Name,Address,InvoiceNumber,Item_Code,Item_Description,Department,Item_Category,Quantity,Unit_Price,Discount,TotalValue,Payment_Method,Loyalty_Points_Earned,Profit
2025-07-09,18:39:49,20,Male,Yes,480169.0,Cargills Food City - Battaramulla,"33 Main St, Battaramulla",120012,49,Anchor Full Cream Milk Powder 400g,Beverages,Milk Powder,2,1200.0,10,2160.0,Card,1,481.71
2025-03-23,02:56:07,59,Female,No,,Cargills Food City - Maharagama,"125 Piliyandala Rd, Maharagama",120013,48,IMORICH CHOC CHOC CHIP 1L,Frozen Food,Desserts,2,775.0,0,1550.0,Cash,13,508.38
2024-09-29,03:49:53,19,Female,No,,Cargills Food City - Battaramulla,"33 Main St, Battaramulla",120014,41,MILO PACKET 600G,Beverages,Malt Drink,3,645.0,15,1644.75,Mobile Payment,1,536.49
2024-10-09,07:06:18,59,Male,Yes,490565.0,Cargills Food City - Malabe,"780 Kaduwela Rd, Malabe",120015,11,RITZBURY BLUEBERRY CHOCOLATE 45G,Grocery,Confectionery,4,120.0,15,408.0,Cash,0,106.97
2025-06-19,10:11:44,47,Female,No,,Cargills Food City - Maharagama,"125 Piliyandala Rd, Maharagama",120016,22,MYSOORE DHAL BULK KG,Grocery,Pulses,2,265.0,15,450.5,Mobile Payment,0,121.95
2025-02-25,16:22:01,42,Male,No,,Cargills Food City - Battaramulla,"33 Main St, Battaramulla",120017,33,Edinborough Mayonnaise 350g,Grocery,Sauces & Condiments,4,1230.0,10,4428.0,Cash,11,668.55
2025-06-03,07:10:38,51,Male,No,,Cargills Food City - Nugegoda,"210 High Level Rd, Nugegoda",120018,16,CLOGARD TOOTHPASTE 120G,Household,Oral Care,3,248.0,0,744.0,Cash,16,163.89
2025-05-17,23:01:13,56,Male,Yes,970980.0,Cargills Food City - Battaramulla,"33 Main St, Battaramulla",120019,35,KREST CHICKEN SAUSAGES S/LESS 250G,Frozen Food,Processed/Preserved Meat,1,375.0,10,337.5,Cash,0,99.98
2025-01-28,10:59:38,36,Female,No,,Cargills Food City - Battaramulla,"33 Main St, Battaramulla",120020,14,IMORICH CHOC CHOC CHIP 1L,Frozen Food,Desserts,1,775.0,10,697.5,Card,5,117.3
2025-03-14,23:07:13,44,Female,Yes,839423.0,Cargills Food City - Malabe,"780 Kaduwela Rd, Malabe",120021,44,NEW RATHNA ROSE RAW RICE 1KG,Grocery,Pulses,2,750.0,0,1500.0,Card,20,263.55
2025-02-15,02:52:30,45,Male,Yes,477503.0,Cargills Food City - Maharagama,"125 Piliyandala Rd, Maharagama",120022,21,RICE SAMBA BULK KG - LOCAL,Grocery,Pulses,4,835.0,0,3340.0,Card,5,1151.92
2025-07-07,02:09:40,25,Male,No,,Cargills Food City - Maharagama,"125 Piliyandala Rd, Maharagama",120023,4,Pears Baby Cologne Active Floral 100ml,Baby Care,Baby Cologne,3,431.25,15,1099.69,Cash,5,318.64
2024-08-12,22:52:33,31,Female,Yes,177157.0,Cargills Food City - Nugegoda,"210 High Level Rd, Nugegoda",120024,1,EVA SANITARY NAPKIN DRYTEX WINGS 20S,Household,Personal Hygiene,2,320.0,5,608.0,Mobile Payment,19,148.73
2024-10-24,12:44:28,35,Female,No,,Cargills Food City - Nugegoda,"210 High Level Rd, Nugegoda",120025,12,SUNQUICK B/CURRENT STD 330ML,Beverages,Concentrated Fruit Drinks,3,490.0,10,1323.0,Cash,6,377.13
2025-03-01,13:12:35,36,Male,Yes,468741.0,Cargills Food City - Battaramulla,"33 Main St, Battaramulla",120026,16,MILO PACKET 600G,Beverages,Malt Drink,2,645.0,5,1225.5,Mobile Payment,15,350.23
2024-08-12,13:04:34,25,Male,Yes,824616.0,Cargills Food City - Battaramulla,"33 Main St, Battaramulla",120027,9,Goldi Chicken Meatballs 500g,Frozen Food,Meatballs,1,880.0,15,748.0,Card,18,256.78
2025-04-07,03:50:34,22,Female,Yes,751990.0,Cargills Food City - Maharagama,"125 Piliyandala Rd, Maharagama",120028,26,MANGO - K/C,Fruits,Inorganic,2,129.0,15,219.3,Mobile Payment,0,52.94
2025-06-23,20:23:01,42,Male,No,,Cargills Food City - Battaramulla,"33 Main St, Battaramulla",120029,50,RICE SUPIRI KEERI SAMBA BULK KG,Grocery,Pulses,3,291.0,0,873.0,Card,15,295.72
2024-12-06,18:36:50,33,Female,No,,Cargills Food City - Maharagama,"125 Piliyandala Rd, Maharagama",120030,35,EH GINGER BEER 1.5L,Beverages,Juices & Carbonates,2,220.0,5,418.0,Card,0,110.72
2024-09-04,08:27:32,26,Female,Yes,580639.0,Cargills Food City - Maharagama,"125 Piliyandala Rd, Maharagama",120031,36,RICHLIFE CHOCOLATE FLY MILK 180ML,Beverages,RTD Beverages,3,140.0,10,378.0,Cash,0,65.51
2025-01-30,05:08:50,38,Male,Yes,809757.0,Cargills Food City - Nugegoda,"210 High Level Rd, Nugegoda",120032,28,WATAWALA KAHATA TEA POUCH 400G,Beverages,Tea,3,500.0,0,1500.0,Cash,4,514.84
2024-12-12,18:29:56,22,Male,No,,Cargills Food City - Nugegoda,"210 High Level Rd, Nugegoda",120033,43,Delmege Chicken Flavoured Soya Meat 90g,Grocery,Soya Products,2,170.0,10,306.0,Mobile Payment,0,83.4
2025-07-27,15:06:57,55,Female,Yes,977601.0,Cargills Food City - Battaramulla,"33 Main St, Battaramulla",120034,17,RITZBURY BLUEBERRY CHOCOLATE 45G,Grocery,Confectionery,1,120.0,15,102.0,Card,0,15.74
2024-11-07,05:29:55,19,Female,Yes,109845.0,Cargills Food City - Malabe,"780 Kaduwela Rd, Malabe",120035,39,MYSOORE DHAL BULK KG,Grocery,Pulses,1,265.0,15,225.25,Mobile Payment,0,60.14
2024-09-05,10:51:56,54,Male,Yes,194046.0,Cargills Food City - Malabe,"780 Kaduwela Rd, Malabe",120036,41,KNORR SEASONING CUBE 15*20G,Grocery,Seasoning & Coconut Cream,4,50.0,0,200.0,Mobile Payment,0,52.84
2025-03-25,13:39:31,50,Female,Yes,724438.0,Cargills Food City - Battaramulla,"33 Main St, Battaramulla",120037,50,EVA SANITARY NAPKIN DRYTEX WINGS 20S,Household,Personal Hygiene,1,320.0,0,320.0,Mobile Payment,0,89.44
2025-04-14,12:28:57,41,Female,No,,Cargills Food City - Maharagama,"125 Piliyandala Rd, Maharagama",120038,31,Goldi Jumbo Chicken Sausages 330g,Frozen Food,Sausages,3,468.0,15,1193.4,Cash,7,330.8
2025-02-01,14:39:53,47,Male,No,,Cargills Food City - Maharagama,"125 Piliyandala Rd, Maharagama",120039,21,EVA SANITARY NAPKIN DRYTEX WINGS 20S,Household,Personal Hygiene,4,320.0,5,1216.0,Mobile Payment,18,362.97
2025-01-28,01:58:12,57,Female,No,,Cargills Food City - Maharagama,"125 Piliyandala Rd, Maharagama",120040,42,RICE SUPIRI KEERI SAMBA BULK KG,Grocery,Pulses,1,291.0,10,261.9,Mobile Payment,0,48.0
2024-08-05,22:24:36,25,Female,No,,Cargills Food City - Nugegoda,"210 High Level Rd, Nugegoda",120041,50,RICE SUPIRI KEERI SAMBA BULK KG,Grocery,Pulses,1,291.0,0,291.0,Mobile Payment,0,89.81
2025-04-05,07:27:52,34,Female,Yes,604729.0,Cargills Food City - Malabe,"780 Kaduwela Rd, Malabe",120042,49,NIPUNA RICE SUPIRI KEERI SAMBA 1KG,Grocery,Pulses,3,1225.0,0,3675.0,Mobile Payment,7,672.09
2025-05-26,09:55:47,55,Female,No,,Cargills Food City - Malabe,"780 Kaduwela Rd, Malabe",120043,44,WATAWALA KAHATA TEA POUCH 400G,Beverages,Tea,4,500.0,0,2000.0,Card,7,399.45
2025-02-25,19:27:37,56,Male,No,,Cargills Food City - Malabe,"780 Kaduwela Rd, Malabe",120044,18,NIPUNA RICE SUPIRI KEERI SAMBA 1KG,Grocery,Pulses,1,1225.0,5,1163.75,Cash,13,358.78
2024-08-17,21:09:14,46,Male,Yes,461944.0,Cargills Food City - Battaramulla,"33 Main St, Battaramulla",120045,8,Goldi Chicken Meatballs 500g,Frozen Food,Meatballs,3,880.0,5,2508.0,Cash,19,741.37
2024-09-08,10:56:08,42,Female,No,,Cargills Food City - Nugegoda,"210 High Level Rd, Nugegoda",120046,10,WATAWALA KAHATA TEA POUCH 400G,Beverages,Tea,3,500.0,10,1350.0,Cash,17,324.22
2024-09-27,05:53:25,53,Female,Yes,751391.0,Cargills Food City - Malabe,"780 Kaduwela Rd, Malabe",120047,50,Garlic 250g,Grocery,Vegetables,2,230.0,15,391.0,Mobile Payment,0,67.01
2024-12-13,06:22:40,40,Female,Yes,223102.0,Cargills Food City - Maharagama,"125 Piliyandala Rd, Maharagama",120048,33,Prima Chocolate Swiss Roll 225g,Bakery,Cakes,4,552.5,0,2210.0,Mobile Payment,8,436.37
2025-04-07,22:59:48,43,Male,No,,Cargills Food City - Nugegoda,"210 High Level Rd, Nugegoda",120049,12,VELVET HAND WASH REFILL ROSE 200ML,Household,Hand & Body Care,4,175.0,0,700.0,Mobile Payment,9,198.2
2025-02-11,19:04:14,52,Male,Yes,118080.0,Cargills Food City - Malabe,"780 Kaduwela Rd, Malabe",120050,49,EVA SANITARY NAPKIN DRYTEX WINGS 20S,Household,Personal Hygiene,2,320.0,10,576.0,Cash,9,131.27
2025-04-25,11:10:48,26,Female,No,,Cargills Food City - Maharagama,"125 Piliyandala Rd, Maharagama",120051,41,MYSOORE DHAL BULK KG,Grocery,Pulses,2,265.0,10,477.0,Mobile Payment,0,141.99
2025-04-10,12:34:42,23,Female,No,,Cargills Food City - Maharagama,"125 Piliyandala Rd, Maharagama",120052,46,CLOGARD TOOTHPASTE 120G,Household,Oral Care,3,248.0,0,744.0,Mobile Payment,17,228.13
2025-06-22,19:21:54,55,Male,Yes,137268.0,Cargills Food City - Maharagama,"125 Piliyandala Rd, Maharagama",120053,31,carrot 500g,Grocery,Vegetables,2,305.0,0,610.0,Mobile Payment,3,171.28
2025-02-12,12:42:35,38,Female,Yes,285957.0,Cargills Food City - Malabe,"780 Kaduwela Rd, Malabe",120054,41,MANGO - K/C,Fruits,Inorganic,1,129.0,15,109.65,Mobile Payment,0,31.44
2024-09-30,10:12:09,40,Male,Yes,483792.0,Cargills Food City - Battaramulla,"33 Main St, Battaramulla",120055,9,SUNQUICK B/CURRENT STD 330ML,Beverages,Concentrated Fruit Drinks,3,490.0,5,1396.5,Card,20,242.22
2025-03-22,08:42:55,35,Male,No,,Cargills Food City - Battaramulla,"33 Main St, Battaramulla",120056,35,RITZBURY BLUEBERRY CHOCOLATE 45G,Grocery,Confectionery,1,120.0,15,102.0,Mobile Payment,0,19.12
2025-06-23,19:08:32,27,Female,Yes,432407.0,Cargills Food City - Maharagama,"125 Piliyandala Rd, Maharagama",120057,28,RITZBURY BLUEBERRY CHOCOLATE 45G,Grocery,Confectionery,1,120.0,5,114.0,Mobile Payment,0,35.8
2025-03-29,18:19:54,51,Female,No,,Cargills Food City - Nugegoda,"210 High Level Rd, Nugegoda",120058,49,WATAWALA KAHATA TEA POUCH 400G,Beverages,Tea,2,500.0,15,850.0,Cash,9,245.43
2025-06-13,16:32:14,19,Male,Yes,225062.0,Cargills Food City - Maharagama,"125 Piliyandala Rd, Maharagama",120059,39,BABY CHERAMY SOAP POKURUWA SADUN 5IN1,Household,Baby Needs,2,530.0,10,954.0,Mobile Payment,17,185.19
2025-03-16,19:21:49,51,Female,Yes,542710.0,Cargills Food City - Battaramulla,"33 Main St, Battaramulla",120060,32,MILO PACKET 600G,Beverages,Malt Drink,1,645.0,0,645.0,Mobile Payment,6,119.38
2024-09-23,06:13:40,42,Male,No,,Cargills Food City - Nugegoda,"210 High Level Rd, Nugegoda",120061,39,Green Chillies 100g,Grocery,Vegetables,4,34.0,15,115.6,Cash,0,21.9
2025-02-22,12:34:44,33,Female,Yes,525274.0,Cargills Food City - Malabe,"780 Kaduwela Rd, Malabe",120062,8,RICHLIFE CHOCOLATE FLY MILK 180ML,Beverages,RTD Beverages,3,140.0,10,378.0,Card,0,118.19
2025-05-31,19:32:52,44,Female,Yes,947894.0,Cargills Food City - Nugegoda,"210 High Level Rd, Nugegoda",120063,3,TOP CRUST BREAD,Bakery,Production Bakery,3,69.0,10,186.3,Card,0,39.12
2025-03-08,03:25:57,31,Female,Yes,832703.0,Cargills Food City - Maharagama,"125 Piliyandala Rd, Maharagama",120064,10,NESCAFE ICE COLD COFFEE 180ML,Beverages,RTD Beverages,1,160.0,10,144.0,Card,0,39.16
2024-11-28,18:25:38,22,Female,Yes,964929.0,Cargills Food City - Battaramulla,"33 Main St, Battaramulla",120065,17,KNORR SEASONING CUBE 15*20G,Grocery,Seasoning & Coconut Cream,2,50.0,15,85.0,Cash,0,15.4
2025-07-17,14:09:47,23,Male,Yes,540584.0,Cargills Food City - Malabe,"780 Kaduwela Rd, Malabe",120066,2,RITZBURY BLUEBERRY CHOCOLATE 45G,Grocery,Confectionery,4,120.0,15,408.0,Card,0,113.05
2024-11-15,01:41:08,58,Female,No,,Cargills Food City - Maharagama,"125 Piliyandala Rd, Maharagama",120067,11,EH GINGER BEER 1.5L,Beverages,Juices & Carbonates,3,220.0,10,594.0,Card,4,179.83
2025-07-04,01:18:29,21,Male,Yes,727921.0,Cargills Food City - Battaramulla,"33 Main St, Battaramulla",120068,16,Anchor Full Cream Milk Powder 400g,Beverages,Milk Powder,2,1200.0,15,2040.0,Cash,9,695.56
2025-07-09,01:08:24,58,Female,No,,Cargills Food City - Nugegoda,"210 High Level Rd, Nugegoda",120069,12,KREST CHICKEN SAUSAGES S/LESS 250G,Frozen Food,Processed/Preserved Meat,1,375.0,0,375.0,Cash,0,124.71
2024-12-17,09:47:40,39,Female,No,,Cargills Food City - Nugegoda,"210 High Level Rd, Nugegoda",120070,50,MYSOORE DHAL BULK KG,Grocery,Pulses,3,265.0,0,795.0,Card,14,244.81
2024-08-19,00:55:13,44,Female,Yes,634332.0,Cargills Food City - Nugegoda,"210 High Level Rd, Nugegoda",120071,34,IMORICH CHOC CHOC CHIP 1L,Frozen Food,Desserts,2,775.0,0,1550.0,Cash,6,246.22
2025-03-29,10:37:02,20,Male,Yes,221520.0,Cargills Food City - Battaramulla,"33 Main St, Battaramulla",120072,32,Delmege Chicken Flavoured Soya Meat 90g,Grocery,Soya Products,3,170.0,5,484.5,Cash,0,137.04
2025-03-15,23:31:23,27,Male,No,,Cargills Food City - Maharagama,"125 Piliyandala Rd, Maharagama",120073,12,Milca Instant Milk Powder 400g,Beverages,Milk Powder,4,1050.0,10,3780.0,Mobile Payment,1,675.97
2024-10-02,10:38:06,19,Female,No,,Cargills Food City - Maharagama,"125 Piliyandala Rd, Maharagama",120074,1,HIGHLAND I/C VANILLA 1L,Frozen Food,Desserts,4,320.0,15,1088.0,Card,18,268.81
2024-10-03,12:49:18,41,Female,No,,Cargills Food City - Nugegoda,"210 High Level Rd, Nugegoda",120075,41,NESCAFE ICE COLD COFFEE 180ML,Beverages,RTD Beverages,1,160.0,5,152.0,Mobile Payment,0,25.68
2024-12-29,23:42:51,37,Female,No,,Cargills Food City - Maharagama,"125 Piliyandala Rd, Maharagama",120076,6,RICE SUPIRI KEERI SAMBA BULK KG,Grocery,Pulses,4,291.0,15,989.4,Mobile Payment,20,224.11
2025-01-19,06:40:34,20,Male,Yes,945353.0,Cargills Food City - Battaramulla,"33 Main St, Battaramulla",120077,42,KREST CHICKEN SAUSAGES S/LESS 250G,Frozen Food,Processed/Preserved Meat,4,375.0,0,1500.0,Cash,14,502.64
2025-05-05,10:18:53,38,Female,Yes,459122.0,Cargills Food City - Malabe,"780 Kaduwela Rd, Malabe",120078,47,MILO PACKET 600G,Beverages,Malt Drink,2,645.0,15,1096.5,Card,18,344.42
2025-07-11,09:16:11,38,Male,Yes,101516.0,Cargills Food City - Nugegoda,"210 High Level Rd, Nugegoda",120079,15,EH GINGER BEER 1.5L,Beverages,Juices & Carbonates,3,220.0,5,627.0,Cash,18,204.2
2025-06-30,02:24:48,21,Female,No,,Cargills Food City - Nugegoda,"210 High Level Rd, Nugegoda",120080,25,NIPUNA RICE SUPIRI KEERI SAMBA 1KG,Grocery,Pulses,2,1225.0,5,2327.5,Mobile Payment,16,683.46
2024-12-18,07:02:11,60,Male,Yes,915287.0,Cargills Food City - Battaramulla,"33 Main St, Battaramulla",120081,23,MYSOORE DHAL BULK KG,Grocery,Pulses,3,265.0,15,675.75,Card,16,110.55
2025-07-01,00:15:34,38,Male,Yes,232277.0,Cargills Food City - Maharagama,"125 Piliyandala Rd, Maharagama",120082,40,CLOGARD TOOTH PASTE 200G,Household,Oral Care,2,195.0,0,390.0,Card,0,84.74
2024-10-10,16:03:46,39,Male,Yes,712068.0,Cargills Food City - Malabe,"780 Kaduwela Rd, Malabe",120083,11,Pears Baby Cologne Active Floral 100ml,Baby Care,Baby Cologne,3,431.25,5,1229.06,Cash,8,340.98
2024-08-03,23:32:15,51,Female,No,,Cargills Food City - Battaramulla,"33 Main St, Battaramulla",120084,40,EH GINGER BEER 1.5L,Beverages,Juices & Carbonates,4,220.0,10,792.0,Mobile Payment,7,248.01
2024-12-14,22:49:46,43,Male,No,,Cargills Food City - Maharagama,"125 Piliyandala Rd, Maharagama",120085,8,IMORICH CHOC CHOC CHIP 1L,Frozen Food,Desserts,2,775.0,0,1550.0,Card,20,481.21
2025-05-13,05:54:24,31,Male,No,,Cargills Food City - Maharagama,"125 Piliyandala Rd, Maharagama",120086,46,NESCAFE ICE COLD COFFEE 180ML,Beverages,RTD Beverages,3,160.0,5,456.0,Cash,0,88.85
2024-11-22,21:00:37,23,Male,No,,Cargills Food City - Battaramulla,"33 Main St, Battaramulla",120087,37,EVA SANITARY NAPKIN DRYTEX WINGS 20S,Household,Personal Hygiene,3,320.0,0,960.0,Cash,10,313.97
2025-02-11,02:38:30,49,Female,Yes,325595.0,Cargills Food City - Battaramulla,"33 Main St, Battaramulla",120088,32,Goldi Chicken Meatballs 500g,Frozen Food,Meatballs,4,880.0,5,3344.0,Cash,12,1006.39
2025-03-03,17:17:52,20,Male,Yes,260630.0,Cargills Food City - Battaramulla,"33 Main St, Battaramulla",120089,37,VIM DISHWASH LIQUID LIME 500ML,Household,Cleaning Consumables,4,250.0,10,900.0,Mobile Payment,11,154.52
2024-08-28,15:27:51,49,Female,No,,Cargills Food City - Nugegoda,"210 High Level Rd, Nugegoda",120090,31,CLOGARD TOOTH PASTE 200G,Household,Oral Care,4,195.0,15,663.0,Mobile Payment,3,167.54
2025-02-01,16:52:52,27,Female,No,,Cargills Food City - Malabe,"780 Kaduwela Rd, Malabe",120091,16,RICE SUPIRI KEERI SAMBA BULK KG,Grocery,Pulses,3,291.0,10,785.7,Mobile Payment,13,236.97
2025-03-24,04:27:26,37,Female,Yes,263392.0,Cargills Food City - Nugegoda,"210 High Level Rd, Nugegoda",120092,45,EVA SANITARY NAPKIN DRYTEX WINGS 20S,Household,Personal Hygiene,4,320.0,5,1216.0,Cash,13,418.58
2025-02-06,12:05:28,36,Male,No,,Cargills Food City - Maharagama,"125 Piliyandala Rd, Maharagama",120093,2,NEW RATHNA ROSE RAW RICE 1KG,Grocery,Pulses,2,750.0,0,1500.0,Card,5,338.47
2025-07-29,19:46:28,22,Male,Yes,148289.0,Cargills Food City - Battaramulla,"33 Main St, Battaramulla",120094,17,Green Chillies 100g,Grocery,Vegetables,1,34.0,5,32.3,Mobile Payment,0,7.01
2025-07-01,13:34:53,33,Female,Yes,243188.0,Cargills Food City - Malabe,"780 Kaduwela Rd, Malabe",120095,12,NEW RATHNA ROSE RAW RICE 1KG,Grocery,Pulses,3,750.0,0,2250.0,Mobile Payment,18,361.24
2025-06-17,22:23:47,27,Female,No,,Cargills Food City - Maharagama,"125 Piliyandala Rd, Maharagama",120096,14,RICE SUPIRI KEERI SAMBA BULK KG,Grocery,Pulses,4,291.0,10,1047.6,Mobile Payment,11,222.34
2024-09-16,10:56:34,54,Male,Yes,868463.0,Cargills Food City - Malabe,"780 Kaduwela Rd, Malabe",120097,17,Kist Mixed Fruit Jam 540g,Grocery,Jams & Spreads,4,412.0,15,1400.8,Card,15,435.05
2025-05-12,01:17:07,30,Female,No,,Cargills Food City - Battaramulla,"33 Main St, Battaramulla",120098,18,CLOGARD TOOTH PASTE 200G,Household,Oral Care,1,195.0,10,175.5,Mobile Payment,0,37.92
2025-02-07,00:02:49,37,Male,Yes,729029.0,Cargills Food City - Battaramulla,"33 Main St, Battaramulla",120099,4,CIC BASMATHI RICE BULK,Grocery,Pulses,1,698.0,5,663.1,Cash,19,175.32
2025-03-27,06:20:18,37,Female,No,,Cargills Food City - Malabe,"780 Kaduwela Rd, Malabe",120100,8,Cabbage 500g,Grocery,Vegetables,4,160.0,0,640.0,Mobile Payment,5,216.46
2024-10-24,20:56:18,46,Female,Yes,502497.0,Cargills Food City - Nugegoda,"210 High Level Rd, Nugegoda",120101,14,CLOGARD TOOTHPASTE 120G,Household,Oral Care,1,248.0,0,248.0,Cash,0,38.47
2025-07-30,11:36:04,54,Female,Yes,473680.0,Cargills Food City - Maharagama,"125 Piliyandala Rd, Maharagama",120102,41,RICHLIFE CHOCOLATE FLY MILK 180ML,Beverages,RTD Beverages,2,140.0,15,238.0,Cash,0,47.25
2025-02-26,08:36:22,26,Female,No,,Cargills Food City - Malabe,"780 Kaduwela Rd, Malabe",120103,32,Tiara Chocolate Layer Cake 310g,Bakery,Cakes,1,522.0,15,443.7,Card,0,147.34
2025-03-30,03:28:33,26,Female,Yes,970614.0,Cargills Food City - Battaramulla,"33 Main St, Battaramulla",120104,32,Green Chillies 100g,Grocery,Vegetables,3,34.0,15,86.7,Cash,0,14.58
2024-09-08,07:59:57,58,Female,Yes,112277.0,Cargills Food City - Battaramulla,"33 Main St, Battaramulla",120105,29,MILO PACKET 600G,Beverages,Malt Drink,3,645.0,0,1935.0,Card,20,672.65
2025-05-15,04:53:24,32,Male,Yes,793282.0,Cargills Food City - Battaramulla,"33 Main St, Battaramulla",120106,46,VELVET HAND WASH REFILL ROSE 200ML,Household,Hand & Body Care,1,175.0,15,148.75,Mobile Payment,0,31.47
2024-08-08,18:18:32,44,Male,No,,Cargills Food City - Nugegoda,"210 High Level Rd, Nugegoda",120107,33,NEW RATHNA ROSE RAW RICE 1KG,Grocery,Pulses,3,750.0,10,2025.0,Cash,6,553.16
2024-10-27,16:51:04,43,Female,No,,Cargills Food City - Maharagama,"125 Piliyandala Rd, Maharagama",120108,5,RITZBURY BLUEBERRY CHOCOLATE 45G,Grocery,Confectionery,4,120.0,10,432.0,Card,0,101.86
2025-03-02,13:20:24,26,Female,No,,Cargills Food City - Malabe,"780 Kaduwela Rd, Malabe",120109,31,RITZBURY BLUEBERRY CHOCOLATE 45G,Grocery,Confectionery,1,120.0,15,102.0,Cash,0,26.97
2025-06-02,12:14:17,49,Male,Yes,540015.0,Cargills Food City - Nugegoda,"210 High Level Rd, Nugegoda",120110,28,AMBEWELA FLAVOURED MILK VANILLA 1000ML,Beverages,Juices & Carbonates,1,320.0,15,272.0,Card,0,70.61
2025-07-24,06:37:07,54,Male,Yes,861979.0,Cargills Food City - Maharagama,"125 Piliyandala Rd, Maharagama",120111,31,RITZBURY BLUEBERRY CHOCOLATE 45G,Grocery,Confectionery,1,120.0,15,102.0,Cash,0,24.7
2024-12-04,23:18:02,58,Male,No,,Cargills Food City - Battaramulla,"33 Main St, Battaramulla",120112,3,KREST CHICKEN SAUSAGES S/LESS 250G,Frozen Food,Processed/Preserved Meat,2,375.0,10,675.0,Card,2,174.54
2025-07-17,11:04:15,56,Female,No,,Cargills Food City - Battaramulla,"33 Main St, Battaramulla",120113,14,CLOGARD TOOTH PASTE 200G,Household,Oral Care,2,195.0,15,331.5,Cash,0,91.12
2024-10-09,22:07:23,33,Male,Yes,347943.0,Cargills Food City - Maharagama,"125 Piliyandala Rd, Maharagama",120114,34,RICE SUPIRI KEERI SAMBA BULK KG,Grocery,Pulses,3,291.0,5,829.35,Card,4,231.42
2025-05-20,10:46:11,58,Female,No,,Cargills Food City - Nugegoda,"210 High Level Rd, Nugegoda",120115,21,CLOGARD TOOTH PASTE 200G,Household,Oral Care,1,195.0,15,165.75,Card,0,44.25
2025-05-04,20:25:09,28,Female,No,,Cargills Food City - Malabe,"780 Kaduwela Rd, Malabe",120116,47,EH GINGER BEER 1.5L,Beverages,Juices & Carbonates,2,220.0,15,374.0,Card,0,97.29
2024-08-25,03:10:31,28,Male,No,,Cargills Food City - Battaramulla,"33 Main St, Battaramulla",120117,18,MYSOORE DHAL BULK KG,Grocery,Pulses,2,265.0,15,450.5,Cash,0,126.69
